length,depth,tautology,CPU time (sec),peak memory (bytes)
8,4,False,0.0,5119
8,3,False,0.046875,4156
8,3,False,0.015625,8521
8,4,False,0.03125,17056
8,3,False,0.03125,4579
8,2,False,0.015625,8655
8,2,True,0.0,8138
8,4,False,0.03125,24750
8,4,False,0.09375,64710
8,3,False,0.03125,15300
8,4,True,0.078125,18785
8,4,False,0.03125,4703
8,3,True,0.015625,4638
8,3,False,0.0,7174
8,4,False,0.03125,13069
8,3,False,0.046875,4207
8,3,True,0.015625,4308
8,3,False,0.0,6076
8,3,False,0.015625,13928
8,2,False,0.03125,20705
8,3,False,0.015625,4766
8,6,False,0.03125,28334
8,3,False,0.015625,6503
8,2,False,0.015625,3751
8,3,True,0.015625,5358
8,2,False,0.015625,7277
8,3,False,0.03125,9583
8,2,False,0.0,4182
8,3,True,0.0,3926
8,3,False,0.015625,7109
8,3,False,0.015625,7293
8,4,False,0.234375,79176
8,3,False,0.015625,6338
9,5,False,0.078125,65382
9,4,False,0.0,8739
9,4,False,0.03125,7262
9,4,False,0.21875,87845
9,3,False,0.03125,6338
9,4,False,0.140625,15114
9,3,False,0.03125,9567
9,3,False,0.0625,8364
9,3,False,0.0625,7432
9,3,False,0.03125,9467
9,3,False,0.0625,12853
9,3,False,0.078125,20126
9,4,True,0.015625,4519
9,3,False,0.03125,22181
9,3,False,0.03125,11062
9,3,True,0.03125,3451
9,4,False,0.0,12587
9,3,False,0.015625,9125
9,3,False,0.015625,5826
9,3,True,0.03125,15899
9,4,False,0.015625,6293
9,4,False,0.109375,21854
9,4,True,0.09375,18647
9,3,False,0.015625,10753
9,4,False,0.046875,22134
9,6,False,0.28125,46315
9,4,False,0.078125,23787
9,4,False,0.046875,20645
9,3,False,0.078125,13982
9,4,False,0.0625,21583
9,3,False,0.140625,15468
9,3,False,0.015625,6574
9,7,False,1.578125,286525
9,4,False,0.015625,5419
9,3,False,0.03125,16661
9,3,True,0.03125,3388
9,3,False,0.015625,17502
9,3,True,0.109375,33409
9,4,False,0.015625,6459
9,4,False,0.015625,7411
9,6,False,0.828125,110938
9,3,False,0.03125,15624
9,3,False,0.0,6878
9,3,False,0.03125,9422
9,4,False,0.046875,27175
9,4,False,0.03125,7114
9,3,False,0.03125,21701
9,3,False,0.078125,10374
9,4,False,0.15625,22678
9,3,True,0.03125,10001
9,5,True,0.046875,11849
9,4,False,0.578125,87003
9,4,False,0.046875,20535
9,4,True,0.03125,17547
9,5,False,0.1875,59237
9,3,False,0.015625,8891
9,3,False,0.015625,9676
9,3,False,0.046875,23097
9,3,False,0.015625,13104
9,4,True,0.078125,8869
9,3,True,0.03125,8793
9,4,False,0.078125,82422
9,3,False,0.015625,12250
9,3,False,0.0,16648
9,3,False,0.015625,9347
9,3,True,0.078125,7386
9,4,False,0.875,100839
9,5,False,0.734375,86841
9,5,False,0.265625,150396
9,3,False,0.015625,9893
9,4,False,0.0625,39222
9,3,False,0.015625,7200
9,3,False,0.046875,11035
9,3,False,0.0,9518
9,3,True,0.0,12480
9,3,True,0.015625,7099
9,4,False,0.0625,17841
9,3,False,0.078125,18613
9,4,False,0.046875,21415
9,2,False,0.015625,6990
9,3,False,0.0,14438
9,4,False,0.0625,20529
9,4,True,0.03125,11714
9,3,False,0.0,10229
9,2,False,0.015625,7318
9,3,False,0.015625,13351
9,5,False,0.28125,37559
9,3,False,0.046875,9718
9,3,False,0.03125,13161
9,3,False,0.03125,16064
9,5,False,0.59375,89386
9,4,False,0.015625,13723
9,2,False,0.0,5527
9,3,False,0.0625,59917
9,3,False,0.015625,5886
9,3,False,0.0,14089
9,3,False,0.03125,18139
9,4,False,0.046875,9690
9,4,False,0.046875,9280
9,2,False,0.0,8050
9,3,False,0.046875,17058
9,3,False,0.046875,24290
9,3,False,0.03125,7698
9,4,True,0.0,4514
9,2,False,0.015625,13369
9,3,True,0.09375,18905
9,3,True,0.0,11151
9,3,False,0.0,12168
9,3,False,0.046875,6235
9,3,False,0.03125,5153
9,3,False,0.078125,21070
9,3,True,0.0,3648
9,3,False,0.0,10831
9,3,False,0.015625,10815
9,4,False,0.015625,14227
9,3,False,0.015625,4733
9,3,False,0.015625,11901
9,3,False,0.03125,13246
9,3,False,0.0,13622
9,3,False,0.015625,19867
9,3,False,0.03125,18165
9,3,False,0.046875,10356
9,3,False,0.0,7533
9,3,False,0.015625,4491
9,3,False,0.015625,11332
9,3,True,0.0,9841
9,3,False,0.03125,14919
9,3,False,0.046875,10980
9,4,False,0.15625,89888
9,3,False,0.03125,18025
9,4,False,0.015625,6342
9,3,False,0.03125,19121
9,3,False,0.03125,15939
9,3,False,0.03125,7241
9,3,False,0.015625,10451
9,3,False,0.015625,8975
9,3,False,0.015625,11158
9,4,False,0.0,8823
9,3,False,0.015625,18406
9,2,False,0.0,12720
9,3,False,0.0,11723
9,4,False,0.015625,5225
9,3,True,0.03125,4549
9,4,False,0.046875,13911
9,4,False,0.03125,11022
9,4,False,0.171875,37761
9,3,False,0.03125,16780
9,3,False,0.03125,8534
9,4,False,0.015625,22335
9,2,False,0.015625,15501
9,3,False,0.03125,5139
9,3,False,0.015625,12435
9,3,False,0.046875,15149
9,5,False,0.265625,124173
9,3,False,0.015625,6406
9,4,False,0.015625,21353
9,3,False,0.015625,6807
9,3,False,0.0,14193
9,3,False,0.015625,10740
9,3,False,0.015625,7881
9,4,False,0.109375,18343
9,2,False,0.015625,10534
9,3,False,0.015625,12530
9,4,False,0.015625,6290
9,4,False,0.03125,17374
9,4,False,0.21875,74595
9,4,False,0.484375,199222
9,4,False,0.046875,9225
9,4,False,0.21875,83602
9,4,False,0.015625,16929
9,5,False,0.25,95121
9,3,False,0.015625,6403
9,3,False,0.21875,48445
9,3,False,0.03125,19974
9,3,True,0.015625,4822
9,4,False,0.09375,72131
9,3,False,0.03125,7304
9,5,False,0.125,26164
9,4,False,0.109375,19159
9,4,False,0.0,6402
9,5,False,0.34375,233983
9,4,False,0.03125,13485
9,6,False,1.96875,330664
9,4,False,0.03125,23254
9,5,True,0.046875,21965
9,4,False,0.046875,32310
9,4,False,0.03125,18208
9,3,False,0.015625,16811
